side_radius_mm,lagrange,newton,spline,qr_polynomial
2.480000000000000071e+01,9.387502909865489201e-03,9.387502909865480527e-03,8.741027552820225532e-03,-1.308803606022657107e-02
2.485000000000000142e+01,8.493153225433184086e-03,8.493153225433175413e-03,8.015394330718879704e-03,-1.330188665259779413e-02
2.489999999999999858e+01,7.610418904977839065e-03,7.610418904977836463e-03,7.296755338904333671e-03,-1.349855116510223496e-02
2.494999999999999929e+01,6.739538839317545799e-03,6.739538839317535390e-03,6.585182682843341954e-03,-1.367814446186166322e-02
2.500000000000000000e+01,5.880748468002849894e-03,5.880748468002849894e-03,5.880748468002849894e-03,-1.384078140699962489e-02
2.505000000000000071e+01,5.034279779316504569e-03,5.034279779316488956e-03,5.183547153520774373e-03,-1.398657686464144234e-02
2.510000000000000142e+01,4.200361310273537443e-03,4.200361310273528770e-03,4.493762613219325248e-03,-1.411564569890888521e-02
2.514999999999999858e+01,3.379218146621300843e-03,3.379218146621287833e-03,3.811601074591814894e-03,-1.422810277392905220e-02
2.519999999999999929e+01,2.571071922839248888e-03,2.571071922839229806e-03,3.137268765131413003e-03,-1.432406295382193662e-02
2.525000000000000000e+01,1.776140822139280102e-03,1.776140822139268827e-03,2.470971912331433682e-03,-1.440364110271374898e-02
2.530000000000000071e+01,9.946395764655121142e-04,9.946395764655058258e-04,1.812916743685141817e-03,-1.446695208472892347e-02
2.535000000000000142e+01,2.267794664943300134e-04,2.267794664943117988e-04,1.163309486685802944e-03,-1.451411076399100608e-02
2.539999999999999858e+01,-5.272316783655622580e-04,-5.272316783655611738e-04,5.223563688267268343e-04,-1.454523200462265464e-02
2.544999999999999929e+01,-1.267189479973334894e-03,-1.267189479973354627e-03,-1.097363823989109925e-04,-1.456043067074919151e-02
2.550000000000000000e+01,-1.992893011455740791e-03,-1.992893011455748598e-03,-7.327625394977997078e-04,-1.455982162649327449e-02
2.555000000000000071e+01,-2.704144797207301380e-03,-2.704144797207305717e-03,-1.346515874976673965e-03,-1.454351973597933778e-02
2.560000000000000142e+01,-3.400750812890273450e-03,-3.400750812890276920e-03,-1.950790161342267877e-03,-1.451163986333270373e-02
2.564999999999999858e+01,-4.082520485434592769e-03,-4.082520485434601443e-03,-2.545379171101275900e-03,-1.446429687267691833e-02
2.569999999999999929e+01,-4.749266693038068157e-03,-4.749266693038073361e-03,-3.130076676760515549e-03,-1.440160562813286305e-02
2.575000000000000000e+01,-5.400805765166094390e-03,-5.400805765166105665e-03,-3.704676450826679002e-03,-1.432368099382674842e-02
2.580000000000000071e+01,-6.036957482551830005e-03,-6.036957482551827403e-03,-4.268972265806501160e-03,-1.423063783388389680e-02
2.585000000000000142e+01,-6.657545077196178225e-03,-6.657545077196180827e-03,-4.822757894206716051e-03,-1.412259101242696602e-02
2.589999999999999858e+01,-7.262395232367721901e-03,-7.262395232367727105e-03,-5.365827108534020409e-03,-1.399965539357861388e-02
2.594999999999999929e+01,-7.851338082602890914e-03,-7.851338082602909996e-03,-5.897973681295227630e-03,-1.386194584146505093e-02
2.600000000000000000e+01,-8.424207213705736663e-03,-8.424207213705750541e-03,-6.418991384997030543e-03,-1.370957722020804681e-02
2.605000000000000071e+01,-8.980839662748053495e-03,-8.980839662748055230e-03,-6.928673992146165347e-03,-1.354266439393292387e-02
2.610000000000000142e+01,-9.521075918069377836e-03,-9.521075918069374366e-03,-7.426815275249368242e-03,-1.336132222676145176e-02
2.614999999999999858e+01,-1.004475991927695003e-02,-1.004475991927694656e-02,-7.913209006813335528e-03,-1.316566558282339372e-02
2.619999999999999929e+01,-1.055173905724582709e-02,-1.055173905724583749e-02,-8.387648959344873659e-03,-1.295580932623519033e-02
2.625000000000000000e+01,-1.104186417411869708e-02,-1.104186417411870402e-02,-8.849928905350685007e-03,-1.273186832112394029e-02
2.630000000000000071e+01,-1.151498956330600579e-02,-1.151498956330601620e-02,-9.299842617337499701e-03,-1.249395743161496597e-02
2.635000000000000142e+01,-1.197097296948593584e-02,-1.197097296948593237e-02,-9.737183867812053070e-03,-1.224219152183181336e-02
2.639999999999999858e+01,-1.240967558860435818e-02,-1.240967558860435471e-02,-1.016174642928105269e-02,-1.197668545589358757e-02
2.644999999999999929e+01,-1.283096206787496564e-02,-1.283096206787498472e-02,-1.057332407425128941e-02,-1.169755409793182821e-02
2.650000000000000000e+01,-1.323470050577909944e-02,-1.323470050577910118e-02,-1.097171057522946906e-02,-1.140491231206652856e-02
2.655000000000000071e+01,-1.362076245206583248e-02,-1.362076245206583769e-02,-1.135669970472232872e-02,-1.109887496242123461e-02
2.660000000000000142e+01,-1.398902290775200577e-02,-1.398902290775200230e-02,-1.172808523523660024e-02,-1.077955691311949238e-02
2.664999999999999858e+01,-1.433936032512211044e-02,-1.433936032512211911e-02,-1.208566093927899120e-02,-1.044707302828840056e-02
2.669999999999999929e+01,-1.467165660772849246e-02,-1.467165660772849767e-02,-1.242922058935629244e-02,-1.010153817204884064e-02
2.675000000000000000e+01,-1.498579711039112541e-02,-1.498579711039113582e-02,-1.275855795797520981e-02,-9.743067208524358591e-03
2.680000000000000071e+01,-1.528167063919773361e-02,-1.528167063919773361e-02,-1.307346681764248036e-02,-9.371775001842053143e-03
2.685000000000000142e+01,-1.555916945150378691e-02,-1.555916945150380426e-02,-1.337374094086483250e-02,-8.987776416124582113e-03
2.689999999999999858e+01,-1.581818925593244177e-02,-1.581818925593245218e-02,-1.365917410014898942e-02,-8.591186315491938785e-03
2.694999999999999929e+01,-1.605862921237465046e-02,-1.605862921237466434e-02,-1.392956006800172113e-02,-8.182119564073886409e-03
2.700000000000000000e+01,-1.628039193198905360e-02,-1.628039193198906054e-02,-1.418469261692974041e-02,-7.760691025990418268e-03
2.705000000000000071e+01,-1.648338347720199742e-02,-1.648338347720199049e-02,-1.442436551943978434e-02,-7.327015565367744898e-03
2.710000000000000142e+01,-1.666751336170759976e-02,-1.666751336170761710e-02,-1.464837254803858652e-02,-6.881208046327635941e-03
2.714999999999999858e+01,-1.683269455046766672e-02,-1.683269455046766672e-02,-1.485650747523287185e-02,-6.423383332997190109e-03
2.719999999999999929e+01,-1.697884345971177947e-02,-1.697884345971178988e-02,-1.504856407352939476e-02,-5.953656289498177046e-03
2.725000000000000000e+01,-1.710587995693722135e-02,-1.710587995693721441e-02,-1.522433611543488191e-02,-5.472141779953254570e-03
2.730000000000000071e+01,-1.721372736090898137e-02,-1.721372736090898137e-02,-1.538361737345606516e-02,-4.978954668487745039e-03
2.735000000000000142e+01,-1.730231244165982007e-02,-1.730231244165983395e-02,-1.552620162009968330e-02,-4.474209819228747165e-03
2.739999999999999858e+01,-1.737156542049018981e-02,-1.737156542049020369e-02,-1.565188262787246126e-02,-3.958022096293589698e-03
2.744999999999999929e+01,-1.742141996996829367e-02,-1.742141996996830755e-02,-1.576045416928114479e-02,-3.430506363810259529e-03
2.750000000000000000e+01,-1.745181321393006121e-02,-1.745181321393006468e-02,-1.585171001683247094e-02,-2.891777485904079015e-03
2.755000000000000071e+01,-1.746268572747913111e-02,-1.746268572747913805e-02,-1.592544394303316291e-02,-2.341950326695041440e-03
2.760000000000000142e+01,-1.745398153698689628e-02,-1.745398153698690669e-02,-1.598144972038995776e-02,-1.781139750310245518e-03
2.764999999999999858e+01,-1.742564812009246566e-02,-1.742564812009247954e-02,-1.601952112140959603e-02,-1.209460620872349068e-03
2.769999999999999929e+01,-1.737763640570266777e-02,-1.737763640570268164e-02,-1.603945191859880784e-02,-6.270278025048980908e-04
2.775000000000000000e+01,-1.730990077399208182e-02,-1.730990077399208182e-02,-1.604103588446433026e-02,-3.395615933143858456e-05
2.780000000000000071e+01,-1.722239905640296845e-02,-1.722239905640297886e-02,-1.602406679151288996e-02,5.696394445218189162e-04
2.785000000000000142e+01,-1.711509253564538063e-02,-1.711509253564537369e-02,-1.598833841225123786e-02,1.183644144933104769e-03
2.789999999999999858e+01,-1.698794594569707009e-02,-1.698794594569706662e-02,-1.593364451918609370e-02,1.807943077778872976e-03
2.794999999999999929e+01,-1.684092747180348029e-02,-1.684092747180349070e-02,-1.585977888482420148e-02,2.442421378932024822e-03
2.800000000000000000e+01,-1.667400875047784711e-02,-1.667400875047785058e-02,-1.576653528167228785e-02,3.086964184270790668e-03
2.805000000000000071e+01,-1.648716486950108778e-02,-1.648716486950110860e-02,-1.565370748223708988e-02,3.741456629673400869e-03
2.810000000000000142e+01,-1.628037436792187723e-02,-1.628037436792188764e-02,-1.552108925902534291e-02,4.405783851012756713e-03
2.814999999999999858e+01,-1.605361923605660296e-02,-1.605361923605660990e-02,-1.536847438454379787e-02,5.079830984163535845e-03
2.820000000000000284e+01,-1.580688491548935121e-02,-1.580688491548935815e-02,-1.519565663129914153e-02,5.763483165006633158e-03
